,batch,well,treatment,sample,Experiment
M1B_T384s1_A1,M1B,A1,SC 1,M1B_T384s1_A1,Sseq
M1B_T384s1_A2,M1B,A2,DMSO,M1B_T384s1_A2,Sseq
M1B_T384s1_A3,M1B,A3,A3,M1B_T384s1_A3,Sseq
M1B_T384s1_A4,M1B,A4,A4,M1B_T384s1_A4,Sseq
M1B_T384s1_A5,M1B,A5,A5,M1B_T384s1_A5,Sseq
M1B_T384s1_A6,M1B,A6,A6,M1B_T384s1_A6,Sseq
M1B_T384s1_A7,M1B,A7,A7,M1B_T384s1_A7,Sseq
M1B_T384s1_A8,M1B,A8,A8,M1B_T384s1_A8,Sseq
M1B_T384s1_A9,M1B,A9,A9,M1B_T384s1_A9,Sseq
M1B_T384s1_A10,M1B,A10,A10,M1B_T384s1_A10,Sseq
M1B_T384s1_A11,M1B,A11,A11,M1B_T384s1_A11,Sseq
M1B_T384s1_A12,M1B,A12,A12,M1B_T384s1_A12,Sseq
M1B_T384s1_A13,M1B,A13,A13,M1B_T384s1_A13,Sseq
M1B_T384s1_A14,M1B,A14,A14,M1B_T384s1_A14,Sseq
M1B_T384s1_A15,M1B,A15,A15,M1B_T384s1_A15,Sseq
M1B_T384s1_A16,M1B,A16,A16,M1B_T384s1_A16,Sseq
M1B_T384s1_A17,M1B,A17,A17,M1B_T384s1_A17,Sseq
M1B_T384s1_A18,M1B,A18,A18,M1B_T384s1_A18,Sseq
M1B_T384s1_A19,M1B,A19,A19,M1B_T384s1_A19,Sseq
M1B_T384s1_A20,M1B,A20,A20,M1B_T384s1_A20,Sseq
M1B_T384s1_A21,M1B,A21,A21,M1B_T384s1_A21,Sseq
M1B_T384s1_A22,M1B,A22,A22,M1B_T384s1_A22,Sseq
M1B_T384s1_A23,M1B,A23,P7NG# 9 D5 Diff GFP +,M1B_T384s1_A23,Sph
M1B_T384s1_A24,M1B,A24,P7NG# 13 D20 SF GFP -,M1B_T384s1_A24,Sph
M1B_T384s1_B1,M1B,B1,SC 2,M1B_T384s1_B1,Sseq
M1B_T384s1_B2,M1B,B2,DMSO,M1B_T384s1_B2,Sseq
M1B_T384s1_B3,M1B,B3,B3,M1B_T384s1_B3,Sseq
M1B_T384s1_B4,M1B,B4,B4,M1B_T384s1_B4,Sseq
M1B_T384s1_B5,M1B,B5,B5,M1B_T384s1_B5,Sseq
M1B_T384s1_B6,M1B,B6,B6,M1B_T384s1_B6,Sseq
M1B_T384s1_B7,M1B,B7,B7,M1B_T384s1_B7,Sseq
M1B_T384s1_B8,M1B,B8,B8,M1B_T384s1_B8,Sseq
M1B_T384s1_B9,M1B,B9,B9,M1B_T384s1_B9,Sseq
M1B_T384s1_B10,M1B,B10,B10,M1B_T384s1_B10,Sseq
M1B_T384s1_B11,M1B,B11,B11,M1B_T384s1_B11,Sseq
M1B_T384s1_B12,M1B,B12,B12,M1B_T384s1_B12,Sseq
M1B_T384s1_B13,M1B,B13,B13,M1B_T384s1_B13,Sseq
M1B_T384s1_B14,M1B,B14,B14,M1B_T384s1_B14,Sseq
M1B_T384s1_B15,M1B,B15,B15,M1B_T384s1_B15,Sseq
M1B_T384s1_B16,M1B,B16,B16,M1B_T384s1_B16,Sseq
M1B_T384s1_B17,M1B,B17,B17,M1B_T384s1_B17,Sseq
M1B_T384s1_B18,M1B,B18,B18,M1B_T384s1_B18,Sseq
M1B_T384s1_B19,M1B,B19,B19,M1B_T384s1_B19,Sseq
M1B_T384s1_B20,M1B,B20,B20,M1B_T384s1_B20,Sseq
M1B_T384s1_B21,M1B,B21,B21,M1B_T384s1_B21,Sseq
M1B_T384s1_B22,M1B,B22,B22,M1B_T384s1_B22,Sseq
M1B_T384s1_B23,M1B,B23,P7NG# 14 D5 Diff GFP -,M1B_T384s1_B23,Sph
M1B_T384s1_B24,M1B,B24,P7NG# 13 D20 SF GFP +,M1B_T384s1_B24,Sph
M1B_T384s1_C1,M1B,C1,SC 3,M1B_T384s1_C1,Sseq
M1B_T384s1_C2,M1B,C2,DMSO,M1B_T384s1_C2,Sseq
M1B_T384s1_C3,M1B,C3,C3,M1B_T384s1_C3,Sseq
M1B_T384s1_C4,M1B,C4,C4,M1B_T384s1_C4,Sseq
M1B_T384s1_C5,M1B,C5,C5,M1B_T384s1_C5,Sseq
M1B_T384s1_C6,M1B,C6,C6,M1B_T384s1_C6,Sseq
M1B_T384s1_C7,M1B,C7,C7,M1B_T384s1_C7,Sseq
M1B_T384s1_C8,M1B,C8,C8,M1B_T384s1_C8,Sseq
M1B_T384s1_C9,M1B,C9,C9,M1B_T384s1_C9,Sseq
M1B_T384s1_C10,M1B,C10,C10,M1B_T384s1_C10,Sseq
M1B_T384s1_C11,M1B,C11,C11,M1B_T384s1_C11,Sseq
M1B_T384s1_C12,M1B,C12,C12,M1B_T384s1_C12,Sseq
M1B_T384s1_C13,M1B,C13,C13,M1B_T384s1_C13,Sseq
M1B_T384s1_C14,M1B,C14,C14,M1B_T384s1_C14,Sseq
M1B_T384s1_C15,M1B,C15,C15,M1B_T384s1_C15,Sseq
M1B_T384s1_C16,M1B,C16,C16,M1B_T384s1_C16,Sseq
M1B_T384s1_C17,M1B,C17,C17,M1B_T384s1_C17,Sseq
M1B_T384s1_C18,M1B,C18,C18,M1B_T384s1_C18,Sseq
M1B_T384s1_C19,M1B,C19,C19,M1B_T384s1_C19,Sseq
M1B_T384s1_C20,M1B,C20,C20,M1B_T384s1_C20,Sseq
M1B_T384s1_C21,M1B,C21,C21,M1B_T384s1_C21,Sseq
M1B_T384s1_C22,M1B,C22,C22,M1B_T384s1_C22,Sseq
M1B_T384s1_C23,M1B,C23,P7NG# 14 D5 Diff GFP +,M1B_T384s1_C23,Sph
M1B_T384s1_C24,M1B,C24,P7NG# 8 D20 SF GFP -,M1B_T384s1_C24,Sph
M1B_T384s1_D1,M1B,D1,SC 4,M1B_T384s1_D1,Sseq
M1B_T384s1_D2,M1B,D2,DMSO,M1B_T384s1_D2,Sseq
M1B_T384s1_D3,M1B,D3,D3,M1B_T384s1_D3,Sseq
M1B_T384s1_D4,M1B,D4,D4,M1B_T384s1_D4,Sseq
M1B_T384s1_D5,M1B,D5,D5,M1B_T384s1_D5,Sseq
M1B_T384s1_D6,M1B,D6,D6,M1B_T384s1_D6,Sseq
M1B_T384s1_D7,M1B,D7,D7,M1B_T384s1_D7,Sseq
M1B_T384s1_D8,M1B,D8,D8,M1B_T384s1_D8,Sseq
M1B_T384s1_D9,M1B,D9,D9,M1B_T384s1_D9,Sseq
M1B_T384s1_D10,M1B,D10,D10,M1B_T384s1_D10,Sseq
M1B_T384s1_D11,M1B,D11,D11,M1B_T384s1_D11,Sseq
M1B_T384s1_D12,M1B,D12,D12,M1B_T384s1_D12,Sseq
M1B_T384s1_D13,M1B,D13,D13,M1B_T384s1_D13,Sseq
M1B_T384s1_D14,M1B,D14,D14,M1B_T384s1_D14,Sseq
M1B_T384s1_D15,M1B,D15,D15,M1B_T384s1_D15,Sseq
M1B_T384s1_D16,M1B,D16,D16,M1B_T384s1_D16,Sseq
M1B_T384s1_D17,M1B,D17,D17,M1B_T384s1_D17,Sseq
M1B_T384s1_D18,M1B,D18,D18,M1B_T384s1_D18,Sseq
M1B_T384s1_D19,M1B,D19,D19,M1B_T384s1_D19,Sseq
M1B_T384s1_D20,M1B,D20,D20,M1B_T384s1_D20,Sseq
M1B_T384s1_D21,M1B,D21,D21,M1B_T384s1_D21,Sseq
M1B_T384s1_D22,M1B,D22,D22,M1B_T384s1_D22,Sseq
M1B_T384s1_D23,M1B,D23,P7NG# 16 D20 SF GFP +,M1B_T384s1_D23,Sph
M1B_T384s1_D24,M1B,D24,P7NG# 8 D20 SF GFP +,M1B_T384s1_D24,Sph
M1B_T384s1_E1,M1B,E1,Myo#1,M1B_T384s1_E1,Sseq
M1B_T384s1_E2,M1B,E2,AdMyoD,M1B_T384s1_E2,Sseq
M1B_T384s1_E3,M1B,E3,E3,M1B_T384s1_E3,Sseq
M1B_T384s1_E4,M1B,E4,E4,M1B_T384s1_E4,Sseq
M1B_T384s1_E5,M1B,E5,E5,M1B_T384s1_E5,Sseq
M1B_T384s1_E6,M1B,E6,E6,M1B_T384s1_E6,Sseq
M1B_T384s1_E7,M1B,E7,E7,M1B_T384s1_E7,Sseq
M1B_T384s1_E8,M1B,E8,E8,M1B_T384s1_E8,Sseq
M1B_T384s1_E9,M1B,E9,E9,M1B_T384s1_E9,Sseq
M1B_T384s1_E10,M1B,E10,E10,M1B_T384s1_E10,Sseq
M1B_T384s1_E11,M1B,E11,E11,M1B_T384s1_E11,Sseq
M1B_T384s1_E12,M1B,E12,E12,M1B_T384s1_E12,Sseq
M1B_T384s1_E13,M1B,E13,E13,M1B_T384s1_E13,Sseq
M1B_T384s1_E14,M1B,E14,E14,M1B_T384s1_E14,Sseq
M1B_T384s1_E15,M1B,E15,E15,M1B_T384s1_E15,Sseq
M1B_T384s1_E16,M1B,E16,E16,M1B_T384s1_E16,Sseq
M1B_T384s1_E17,M1B,E17,E17,M1B_T384s1_E17,Sseq
M1B_T384s1_E18,M1B,E18,E18,M1B_T384s1_E18,Sseq
M1B_T384s1_E19,M1B,E19,E19,M1B_T384s1_E19,Sseq
M1B_T384s1_E20,M1B,E20,E20,M1B_T384s1_E20,Sseq
M1B_T384s1_E21,M1B,E21,E21,M1B_T384s1_E21,Sseq
M1B_T384s1_E22,M1B,E22,E22,M1B_T384s1_E22,Sseq
M1B_T384s1_E23,M1B,E23,P7NG# 14 D20 SF GFP -,M1B_T384s1_E23,Sph
M1B_T384s1_E24,M1B,E24,P7NG# 10 D20 SF GFP -,M1B_T384s1_E24,Sph
M1B_T384s1_F1,M1B,F1,Myo#5,M1B_T384s1_F1,Sseq
