"M2B_T384s1_A1" "M2B_T384s1_A23" "M2B_T384s1_A24" "M2B_T384s1_B1" "M2B_T384s1_B23" "M2B_T384s1_B24" "M2B_T384s1_C1" "M2B_T384s1_C23" "M2B_T384s1_C24" "M2B_T384s1_D1" "M2B_T384s1_D23" "M2B_T384s1_D24" "M2B_T384s1_E1" "M2B_T384s1_E23" "M2B_T384s1_E24" "M2B_T384s1_F1" "M2B_T384s1_F23" "M2B_T384s1_F24" "M2B_T384s1_G1" "M2B_T384s1_G23" "M2B_T384s1_G24" "M2B_T384s1_H1" "M2B_T384s1_H23" "M2B_T384s1_H24" "M2B_T384s1_I1" "M2B_T384s1_I2" "M2B_T384s1_I24" "M2B_T384s1_J1" "M2B_T384s1_J2" "M2B_T384s1_J24" "M2B_T384s1_K1" "M2B_T384s1_K2" "M2B_T384s1_K24" "M2B_T384s1_L1" "M2B_T384s1_L2" "M2B_T384s1_L24" "M2B_T384s1_M1" "M2B_T384s1_M2" "M2B_T384s1_M24" "M2B_T384s1_N1" "M2B_T384s1_N2" "M2B_T384s1_N24" "M2B_T384s1_O1" "M2B_T384s1_O2" "M2B_T384s1_O24" "M2B_T384s1_P1" "M2B_T384s1_P2" "M2B_T384s1_P24"
"0610005C13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610007N19Rik" 10 7 4 1 0 0 0 2 2 1 1 3 3 0 2 1 3 0 1 4 2 0 6 1 1 0 5 1 2 3 1 2 0 0 0 0 2 0 0 2 0 1 0 0 0 3 0 0
"0610007P14Rik" 3 3 2 3 0 0 0 1 2 2 1 1 1 2 1 0 0 0 1 0 1 1 3 2 2 1 3 0 1 1 3 8 1 0 1 0 1 2 2 0 0 0 0 1 0 0 1 0
"0610008F07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009B14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009B22Rik" 7 6 4 3 4 1 1 1 1 0 3 3 1 1 1 2 1 1 9 8 3 6 9 2 0 0 3 2 1 2 8 5 3 3 3 1 2 3 7 1 4 1 0 5 4 1 2 7
"0610009D07Rik" 15 15 7 2 4 3 0 8 4 2 4 8 9 2 3 4 8 1 12 17 6 6 19 3 5 2 7 4 6 2 11 8 4 2 7 0 6 1 1 1 5 0 0 1 2 5 3 2
"0610009L18Rik" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009O20Rik" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 2 1 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0
"0610010B08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610010F05Rik" 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0
"0610010K14Rik" 2 2 1 5 2 0 2 0 3 1 1 0 1 1 2 2 0 1 4 6 0 2 7 2 2 1 1 2 2 1 1 3 2 5 1 0 1 1 0 0 2 1 0 0 1 4 1 2
"0610011F06Rik" 0 0 0 0 0 0 0 0 1 1 0 0 1 3 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"0610012G03Rik" 2 5 1 4 1 2 0 1 0 0 2 3 1 1 0 1 1 0 3 3 2 2 1 2 0 0 1 2 2 1 0 1 0 3 2 0 1 2 2 0 1 0 0 1 1 2 1 0
"0610012H03Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610030E20Rik" 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610031J06Rik" 3 2 2 2 3 3 2 2 1 2 3 7 2 1 3 0 4 2 2 0 3 3 4 0 2 0 4 2 5 5 0 7 0 3 2 0 1 1 1 0 1 0 0 2 0 2 0 1
"0610031O16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610037L13Rik" 3 3 1 0 0 2 1 0 1 2 0 1 2 1 0 0 3 1 2 3 0 1 7 0 0 1 0 1 2 1 0 0 0 2 1 0 0 1 0 1 1 0 1 2 0 1 0 0
