SC	10T 5aza D5	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IF AdMyoD D10	IF	SC	SC	10T 5aza D10	IPS	IF	10T	10T 5aza D10	BJ Fib	IF	10T	IF AdMyoD D5	Myo	SC	10T	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D5	Myo	SC	10T 5aza D5	IF AdMyoD D10	Myo	SC	NA
1	0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0610007N19Rik	17	179	36	988	9	11	85	437	852	7	12	6	3	703	109	77	2	387	47	29	115	16	60	741	56	13	96	47	118	0	79	36	145	3
3	0610007P14Rik	44	53	11	373	29	49	86	211	242	33	24	8	0	246	162	74	2	185	82	11	159	90	73	189	75	42	47	12	82	6	29	10	88	4
4	0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0610009B22Rik	54	70	18	295	24	66	114	149	202	25	16	6	1	214	104	75	3	72	45	9	299	110	61	162	80	54	62	8	358	20	61	9	394	8
7	0610009D07Rik	136	199	19	560	69	150	224	223	375	62	80	20	21	371	420	181	34	220	253	8	850	261	175	277	247	107	189	25	530	24	155	19	525	21
8	0610009L18Rik	14	9	0	24	7	6	4	8	17	4	3	0	0	18	3	8	1	16	4	0	27	18	4	11	17	14	6	1	30	5	4	1	28	3
9	0610009O20Rik	19	15	3	40	19	26	23	31	27	8	14	1	1	34	16	11	0	30	8	2	55	37	12	25	37	17	13	0	36	2	13	3	26	3
10	0610010B08Rik	0	1	0	0	1	2	0	1	0	0	0	0	0	1	1	2	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1
11	0610010F05Rik	10	3	1	29	1	2	6	5	19	3	4	0	0	18	43	9	0	31	24	1	38	9	16	10	8	7	7	0	33	4	12	1	36	0
12	0610010K14Rik	56	136	12	347	51	56	98	132	232	35	42	7	8	242	216	80	4	171	111	9	259	107	125	161	218	40	93	6	205	17	103	14	214	8
13	0610011F06Rik	58	38	8	48	46	70	19	44	28	33	49	0	1	29	26	23	0	12	21	1	65	90	14	34	63	45	27	1	82	16	26	2	74	9
14	0610012G03Rik	66	145	14	401	48	73	122	195	290	42	25	6	4	274	219	100	1	172	104	11	336	189	107	243	235	92	88	6	346	20	96	14	372	11
15	0610012H03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0610030E20Rik	19	6	0	25	6	13	5	12	30	9	9	0	0	20	11	7	0	17	9	1	16	9	7	13	9	9	3	0	17	3	7	0	18	0
17	0610031J06Rik	43	193	14	422	34	70	164	174	350	24	47	14	0	312	198	117	2	346	91	14	210	85	91	223	178	59	128	6	188	19	139	20	298	18
18	0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0610037L13Rik	70	116	10	284	52	71	84	137	174	23	42	7	1	179	156	69	5	122	77	7	211	179	87	158	127	87	99	3	159	30	81	13	185	17
20	0610038B21Rik	0	0	0	4	0	1	0	1	2	0	1	0	0	0	1	0	0	1	1	0	3	2	3	0	4	1	2	0	6	1	2	0	8	0
21	0610038L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
22	0610039K10Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0610040B10Rik	3	4	0	7	4	5	5	1	13	4	3	0	0	9	2	5	0	5	2	0	12	2	2	5	6	1	2	1	18	2	0	1	28	0
24	0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25	0610040J01Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0
26	0610043K17Rik	1	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
27	1100001G20Rik	0	0	0	149	1	2	11	6	65	0	3	0	0	330	0	9	2	257	2	2	0	0	0	24	0	1	0	3	2	0	1	1	4	0
28	1110001A16Rik	20	114	10	226	27	34	100	114	197	14	12	8	1	173	147	85	2	121	76	7	263	64	55	141	110	28	102	8	207	11	86	9	285	3
29	1110001J03Rik	210	128	13	438	188	329	81	167	261	116	124	6	3	315	288	90	1	290	118	4	872	475	107	189	366	233	100	7	456	48	77	14	472	22
30	1110002L01Rik	0	2	0	4	0	0	3	0	1	0	0	0	0	0	2	1	0	0	1	0	2	1	0	4	0	0	0	0	2	0	3	0	3	0
31	1110004E09Rik	21	28	4	52	14	55	18	33	45	9	24	1	6	47	93	16	4	30	48	0	138	42	46	48	32	34	16	0	61	7	35	4	79	3
