,batch,well,treatment,sample,experiment,sph,genes_detected,genes_detected_zscore,genes_detected_pval,genes_detected_padj,counts,means,failed,noise_counts
M1B_T384s1_A10,M1B,A10,A10,M1B_T384s1_A10,sseq,FALSE,12443,1.413551791,0.157493545,0.999792688,863580,36.77782037,FALSE,64
M2B_T384s1_A10,M2B,A10,A10,M2B_T384s1_A10,sseq,FALSE,11650,0.815504551,0.414783561,0.999792688,647342,27.56875772,FALSE,31
M1B_T384s1_A11,M1B,A11,A11,M1B_T384s1_A11,sseq,FALSE,11785,0.917315872,0.358977143,0.999792688,445214,18.96060645,FALSE,12
M2B_T384s1_A11,M2B,A11,A11,M2B_T384s1_A11,sseq,FALSE,11710,0.860754027,0.38937353,0.999792688,514685,21.91921128,FALSE,22
M1B_T384s1_A12,M1B,A12,A12,M1B_T384s1_A12,sseq,FALSE,11669,0.829833552,0.406632898,0.999792688,437366,18.62637877,FALSE,11
M2B_T384s1_A12,M2B,A12,A12,M2B_T384s1_A12,sseq,FALSE,10695,0.095283726,0.924089469,0.999792688,282201,12.01827009,FALSE,8
M1B_T384s1_A13,M1B,A13,A13,M1B_T384s1_A13,sseq,FALSE,11689,0.84491671,0.398157344,0.999792688,439445,18.71491844,FALSE,42
M2B_T384s1_A13,M2B,A13,A13,M2B_T384s1_A13,sseq,FALSE,11405,0.630735858,0.528213249,0.999792688,374828,15.96303394,FALSE,30
M1B_T384s1_A14,M1B,A14,A14,M1B_T384s1_A14,sseq,FALSE,10537,-0.023873227,0.98095373,0.999792688,222399,9.471444998,FALSE,12
M2B_T384s1_A14,M2B,A14,A14,M2B_T384s1_A14,sseq,FALSE,11200,0.476133482,0.633979285,0.999792688,426348,18.15714833,FALSE,16
M1B_T384s1_A15,M1B,A15,A15,M1B_T384s1_A15,sseq,FALSE,11522,0.718972336,0.472157965,0.999792688,315019,13.41591074,FALSE,24
M2B_T384s1_A15,M2B,A15,A15,M2B_T384s1_A15,sseq,FALSE,10803,0.176732783,0.859718289,0.999792688,337798,14.38601422,FALSE,13
M1B_T384s1_A16,M1B,A16,A16,M1B_T384s1_A16,sseq,FALSE,11290,0.544007696,0.586436177,0.999792688,321386,13.68706614,FALSE,15
M2B_T384s1_A16,M2B,A16,A16,M2B_T384s1_A16,sseq,FALSE,11666,0.827571078,0.407913453,0.999792688,422185,17.97985605,FALSE,9
M1B_T384s1_A17,M1B,A17,A17,M1B_T384s1_A17,sseq,FALSE,10946,0.284577367,0.775967953,0.999792688,279608,11.90784038,FALSE,17
M2B_T384s1_A17,M2B,A17,A17,M2B_T384s1_A17,sseq,FALSE,10594,0.019113775,0.984750343,0.999792688,241125,10.26894085,FALSE,11
M1B_T384s1_A18,M1B,A18,A18,M1B_T384s1_A18,sseq,FALSE,11243,0.508562273,0.611059079,0.999792688,327152,13.93262638,FALSE,15
M2B_T384s1_A18,M2B,A18,A18,M2B_T384s1_A18,sseq,FALSE,11808,0.934661504,0.349962772,0.999792688,615750,26.2233295,FALSE,37
M1B_T384s1_A19,M1B,A19,A19,M1B_T384s1_A19,sseq,FALSE,10928,0.271002524,0.786389091,0.999792688,282865,12.04654827,FALSE,14
M2B_T384s1_A19,M2B,A19,A19,M2B_T384s1_A19,sseq,FALSE,9888,-0.513321725,0.60772629,0.999792688,154007,6.558792215,FALSE,8
M1B_T384s1_A20,M1B,A20,A20,M1B_T384s1_A20,sseq,FALSE,10862,0.221228101,0.82491483,0.999792688,317898,13.53852051,FALSE,16
M2B_T384s1_A20,M2B,A20,A20,M2B_T384s1_A20,sseq,FALSE,10167,-0.302911662,0.761957184,0.999792688,186248,7.931859802,FALSE,18
M1B_T384s1_A21,M1B,A21,A21,M1B_T384s1_A21,sseq,FALSE,11069,0.377338793,0.705921847,0.999792688,276794,11.78799881,FALSE,11
M2B_T384s1_A21,M2B,A21,A21,M2B_T384s1_A21,sseq,FALSE,10635,0.05003425,0.960095095,0.999792688,241674,10.29232145,FALSE,12
M1B_T384s1_A22,M1B,A22,A22,M1B_T384s1_A22,sseq,FALSE,11074,0.381109582,0.703121937,0.999792688,248736,10.59307525,FALSE,7
M2B_T384s1_A22,M2B,A22,A22,M2B_T384s1_A22,sseq,FALSE,11641,0.80871713,0.418677873,0.999792688,482422,20.54520676,FALSE,20
M1B_T384s1_A3,M1B,A3,A3,M1B_T384s1_A3,sseq,FALSE,10210,-0.270482871,0.786788793,0.999792688,198849,8.468506452,FALSE,11
M2B_T384s1_A3,M2B,A3,A3,M2B_T384s1_A3,sseq,FALSE,11090,0.393176109,0.694189414,0.999792688,331708,14.12665559,FALSE,12
M1B_T384s1_A4,M1B,A4,A4,M1B_T384s1_A4,sseq,FALSE,11186,0.465575271,0.641519547,0.999792688,297976,12.69008986,FALSE,12
M2B_T384s1_A4,M2B,A4,A4,M2B_T384s1_A4,sseq,FALSE,10828,0.195586731,0.844933647,0.999792688,252992,10.77432818,FALSE,11
M1B_T384s1_A5,M1B,A5,A5,M1B_T384s1_A5,sseq,FALSE,11087,0.390913635,0.695861075,0.999792688,309183,13.16736936,FALSE,12
M2B_T384s1_A5,M2B,A5,A5,M2B_T384s1_A5,sseq,FALSE,11143,0.43314648,0.664908358,0.999792688,332611,14.16511222,FALSE,22
M2B_T384s1_A6,M2B,A6,A6,M2B_T384s1_A6,sseq,FALSE,11680,0.838129289,0.401958095,0.999792688,419001,17.84425706,FALSE,16
M1B_T384s1_A7,M1B,A7,A7,M1B_T384s1_A7,sseq,FALSE,11711,0.861508185,0.388958215,0.999792688,433031,18.44176142,FALSE,17
M2B_T384s1_A7,M2B,A7,A7,M2B_T384s1_A7,sseq,FALSE,10865,0.223490575,0.823153718,0.999792688,310915,13.24113113,FALSE,13
M1B_T384s1_A8,M1B,A8,A8,M1B_T384s1_A8,sseq,FALSE,12154,1.195600149,0.231852633,0.999792688,613312,26.11950087,FALSE,41
M2B_T384s1_A8,M2B,A8,A8,M2B_T384s1_A8,sseq,FALSE,10730,0.121679254,0.903153044,0.999792688,259246,11.04067118,FALSE,4
M1B_T384s1_A9,M1B,A9,A9,M1B_T384s1_A9,sseq,FALSE,12038,1.108117829,0.267810932,0.999792688,538135,22.91789106,FALSE,24
M2B_T384s1_A9,M2B,A9,A9,M2B_T384s1_A9,sseq,FALSE,10575,0.004784774,0.996182317,0.999792688,227738,9.698820323,FALSE,6
M1B_T384s1_E2,AdMyoD,E2,AdMyoD,M1B_T384s1_E2,sseq,FALSE,12045,1.113396934,0.265537991,0.999792688,569084,24.23593544,FALSE,16
M1B_T384s1_F2,AdMyoD,F2,AdMyoD,M1B_T384s1_F2,sseq,FALSE,12669,1.583991484,0.113195657,0.999792688,799610,34.05349006,FALSE,22
M1B_T384s1_G2,AdMyoD,G2,AdMyoD,M1B_T384s1_G2,sseq,FALSE,13015,1.844930128,0.065047703,0.999792688,1001546,42.6534645,FALSE,25
M1B_T384s1_H2,AdMyoD,H2,AdMyoD,M1B_T384s1_H2,sseq,FALSE,13126,1.928641659,0.053775364,0.999792688,1200671,51.13372514,FALSE,34
M1B_T384s1_M23,AdMyoD,M23,AdMyoD,M1B_T384s1_M23,sseq,FALSE,11750,0.890920344,0.372971905,0.999792688,473773,20.1768664,FALSE,12
M1B_T384s1_N23,AdMyoD,N23,AdMyoD,M1B_T384s1_N23,sseq,FALSE,11864,0.976894349,0.32862146,0.999792688,486255,20.70844513,FALSE,16
M1B_T384s1_O23,AdMyoD,O23,AdMyoD,M1B_T384s1_O23,sseq,FALSE,11448,0.663164649,0.50722511,0.999792688,443122,18.87151314,FALSE,12
M1B_T384s1_P23,AdMyoD,P23,AdMyoD,M1B_T384s1_P23,sseq,FALSE,13283,2.047044454,0.04065372,0.870243694,1435650,61.14092245,FALSE,46
M2B_T384s1_E2,AdMyoD,E2,AdMyoD,M2B_T384s1_E2,sseq,FALSE,12736,1.634520065,0.102149697,0.999792688,992527,42.26936672,FALSE,17
M2B_T384s1_F2,AdMyoD,F2,AdMyoD,M2B_T384s1_F2,sseq,FALSE,13069,1.885654656,0.059341507,0.999792688,1136654,48.40739321,FALSE,30
M2B_T384s1_G2,AdMyoD,G2,AdMyoD,M2B_T384s1_G2,sseq,FALSE,13076,1.890933762,0.058633187,0.999792688,1224854,52.16362165,FALSE,30
M2B_T384s1_H2,AdMyoD,H2,AdMyoD,M2B_T384s1_H2,sseq,FALSE,13024,1.85171755,0.064066393,0.999792688,1262968,53.78680635,FALSE,34
M2B_T384s1_M23,AdMyoD,M23,AdMyoD,M2B_T384s1_M23,sseq,FALSE,10182,-0.291599293,0.770593016,0.999792688,198548,8.455687577,FALSE,2
M2B_T384s1_N23,AdMyoD,N23,AdMyoD,M2B_T384s1_N23,sseq,FALSE,10695,0.095283726,0.924089469,0.999792688,236435,10.06920489,FALSE,7
M2B_T384s1_O23,AdMyoD,O23,AdMyoD,M2B_T384s1_O23,sseq,FALSE,10311,-0.19431292,0.84593087,0.999792688,204214,8.696989055,FALSE,7
M2B_T384s1_P23,AdMyoD,P23,AdMyoD,M2B_T384s1_P23,sseq,FALSE,9997,-0.43111851,0.666382202,0.999792688,186801,7.955410758,FALSE,3
M1B_T384s1_B10,M1B,B10,B10,M1B_T384s1_B10,sseq,FALSE,10705,0.102825305,0.918101621,0.999792688,236665,10.07900004,FALSE,6
M2B_T384s1_B10,M2B,B10,B10,M2B_T384s1_B10,sseq,FALSE,10311,-0.19431292,0.84593087,0.999792688,233295,9.93547975,FALSE,6
M1B_T384s1_B11,M1B,B11,B11,M1B_T384s1_B11,sseq,FALSE,9546,-0.771243738,0.440562474,0.999792688,140334,5.976491632,FALSE,7
M2B_T384s1_B11,M2B,B11,B11,M2B_T384s1_B11,sseq,FALSE,10517,-0.038956386,0.968925161,0.999792688,239305,10.19143137,FALSE,13
M1B_T384s1_B12,M1B,B12,B12,M1B_T384s1_B12,sseq,FALSE,10668,0.074921462,0.9402772,0.999792688,250873,10.684085,FALSE,9
M2B_T384s1_B12,M2B,B12,B12,M2B_T384s1_B12,sseq,FALSE,10432,-0.10305981,0.917915502,0.999792688,222102,9.458796474,FALSE,7
M1B_T384s1_B13,M1B,B13,B13,M1B_T384s1_B13,sseq,FALSE,11347,0.586994698,0.557207268,0.999792688,404051,17.20757208,FALSE,19
M2B_T384s1_B13,M2B,B13,B13,M2B_T384s1_B13,sseq,FALSE,10528,-0.030660649,0.975540174,0.999792688,248661,10.58988118,FALSE,13
M1B_T384s1_B14,M1B,B14,B14,M1B_T384s1_B14,sseq,FALSE,12154,1.195600149,0.231852633,0.999792688,590922,25.16596397,FALSE,45
M2B_T384s1_B14,M2B,B14,B14,M2B_T384s1_B14,sseq,FALSE,12190,1.222749834,0.221424198,0.999792688,712668,30.35083685,FALSE,36
M1B_T384s1_B15,M1B,B15,B15,M1B_T384s1_B15,sseq,FALSE,10725,0.117908464,0.906140187,0.999792688,268380,11.42966654,FALSE,14
M2B_T384s1_B15,M2B,B15,B15,M2B_T384s1_B15,sseq,FALSE,10319,-0.188279656,0.850657432,0.999792688,210476,8.963672757,FALSE,9
M1B_T384s1_B16,M1B,B16,B16,M1B_T384s1_B16,sseq,FALSE,9779,-0.59552494,0.551492634,0.999792688,155015,6.60172054,FALSE,8
M2B_T384s1_B16,M2B,B16,B16,M2B_T384s1_B16,sseq,FALSE,10766,0.148828939,0.881688615,0.999792688,255849,10.89600102,FALSE,7
M1B_T384s1_B17,M1B,B17,B17,M1B_T384s1_B17,sseq,FALSE,10480,-0.066860229,0.946692975,0.999792688,197683,8.418849282,FALSE,10
M2B_T384s1_B17,M2B,B17,B17,M2B_T384s1_B17,sseq,FALSE,11326,0.571157381,0.567892965,0.999792688,356919,15.20033218,FALSE,12
M1B_T384s1_B18,M1B,B18,B18,M1B_T384s1_B18,sseq,FALSE,11138,0.42937569,0.667649842,0.999792688,387890,16.51931349,FALSE,20
M2B_T384s1_B18,M2B,B18,B18,M2B_T384s1_B18,sseq,FALSE,11576,0.759696864,0.447435804,0.999792688,329659,14.03939355,FALSE,23
M1B_T384s1_B19,M1B,B19,B19,M1B_T384s1_B19,sseq,FALSE,10137,-0.3255364,0.744775138,0.999792688,177594,7.563306503,FALSE,19
M2B_T384s1_B19,M2B,B19,B19,M2B_T384s1_B19,sseq,FALSE,10434,-0.101551494,0.919112682,0.999792688,192613,8.202930029,FALSE,8
M1B_T384s1_B20,M1B,B20,B20,M1B_T384s1_B20,sseq,FALSE,10697,0.096792042,0.922891544,0.999792688,247195,10.52744772,FALSE,14
M2B_T384s1_B20,M2B,B20,B20,M2B_T384s1_B20,sseq,FALSE,10390,-0.134734443,0.89282184,0.999792688,210836,8.979004301,FALSE,17
M1B_T384s1_B21,M1B,B21,B21,M1B_T384s1_B21,sseq,FALSE,9535,-0.779539475,0.435661994,0.999792688,132114,5.626421362,FALSE,7
