,sample,PC1,PC2,PC3,PC4,batch,well,treatment,Experiment,genes_detected,genes_detected_zscore,genes_detected_pval,genes_detected_padj,counts,means,noise_counts
380,M1B_T384s1_P23,-10.00144685,3.202669275,3.238080691,2.059609782,M1B,P23,AdMyoD,Sseq,13283,1.499456529,0.133755238,0.997657495,1435650,61.14092245,46
170,M1B_T384s1_H2,-9.092184854,3.11708736,3.279999933,1.910176459,M1B,H2,AdMyoD,Sseq,13126,1.430243558,0.152647128,0.997657495,1200671,51.13372514,34
527,M2B_T384s1_G2,-8.760359025,3.56098622,3.271981472,1.942848332,M2B,G2,AdMyoD,Sseq,13076,1.40820121,0.159071498,0.997657495,1224854,52.16362165,30
551,M2B_T384s1_H2,-8.52321911,3.124546321,3.411391453,1.976439816,M2B,H2,AdMyoD,Sseq,13024,1.385277168,0.165967732,0.997657495,1262968,53.78680635,34
503,M2B_T384s1_F2,-8.21645961,3.824160886,3.230061259,2.181351549,M2B,F2,AdMyoD,Sseq,13069,1.405115281,0.159987001,0.997657495,1136654,48.40739321,30
146,M1B_T384s1_G2,-8.101450798,3.931014501,3.147224509,2.469608473,M1B,G2,AdMyoD,Sseq,13015,1.381309546,0.167183804,0.997657495,1001546,42.6534645,25
479,M2B_T384s1_E2,-7.394793162,3.908775499,3.063420514,2.127947859,M2B,E2,AdMyoD,Sseq,12736,1.258313245,0.208278493,0.997657495,992527,42.26936672,17
122,M1B_T384s1_F2,-6.691085604,3.87174402,2.952765245,2.446465579,M1B,F2,AdMyoD,Sseq,12669,1.228776499,0.219155615,0.997657495,799610,34.05349006,22
98,M1B_T384s1_E2,-4.635735758,3.806083496,2.890993264,2.736505583,M1B,E2,AdMyoD,Sseq,12045,0.953687999,0.340241597,0.997657495,569084,24.23593544,16
334,M1B_T384s1_N23,-3.776791276,4.158389842,3.065493971,3.003625081,M1B,N23,AdMyoD,Sseq,11864,0.873894701,0.382175601,0.997657495,486255,20.70844513,16
311,M1B_T384s1_M23,-3.39803495,4.323632352,2.848325291,3.085649073,M1B,M23,AdMyoD,Sseq,11750,0.823638148,0.410145194,0.997657495,473773,20.1768664,12
357,M1B_T384s1_O23,-2.010735141,3.432030483,3.234577715,2.724331588,M1B,O23,AdMyoD,Sseq,11448,0.690502367,0.489878322,0.997657495,443122,18.87151314,12
715,M2B_T384s1_N23,-1.260035985,2.938537562,3.561095898,1.841665072,M2B,N23,AdMyoD,Sseq,10695,0.35854461,0.71993579,0.997657495,236435,10.06920489,7
737,M2B_T384s1_O23,0.971826591,2.697815705,2.873616516,1.72137791,M2B,O23,AdMyoD,Sseq,10311,0.18925938,0.84988953,0.997657495,204214,8.696989055,7
691,M2B_T384s1_M23,2.199312649,2.870928225,2.812058925,1.91233717,M2B,M23,AdMyoD,Sseq,10182,0.132390122,0.894675727,0.997657495,198548,8.455687577,2
760,M2B_T384s1_P23,2.346884107,2.703840722,3.369327359,1.443257392,M2B,P23,AdMyoD,Sseq,9997,0.050833436,0.959458247,0.997657495,186801,7.955410758,3
26,M1B_T384s1_B2,-12.84787289,1.377775086,2.702236794,0.068595512,M1B,B2,DMSO,Sseq,13536,1.610990809,0.107181726,0.90987965,1808627,77.0251267,51
74,M1B_T384s1_D2,-12.59667297,1.56867329,3.072651147,0.173714892,M1B,D2,DMSO,Sseq,13561,1.622011983,0.104800782,0.899444078,1956167,83.30850475,82
50,M1B_T384s1_C2,-11.42253592,1.334203947,2.934866316,0.064608139,M1B,C2,DMSO,Sseq,13135,1.43421118,0.151512008,0.997657495,1473579,62.75622844,77
2,M1B_T384s1_A2,-11.15582092,1.151383595,2.740476901,0.099670837,M1B,A2,DMSO,Sseq,13099,1.41834069,0.156091322,0.997657495,1430675,60.92904902,83
620,M2B_T384s1_J23,-11.05723518,1.089342203,2.557584295,-0.515859391,M2B,J23,DMSO,Sseq,12767,1.271979501,0.203380403,0.997657495,1134769,48.32711554,27
455,M2B_T384s1_D2,-9.105209552,0.851990741,2.713852128,-0.241680723,M2B,D2,DMSO,Sseq,12539,1.171466395,0.241411358,0.997657495,976170,41.57276096,59
431,M2B_T384s1_C2,-9.062919,0.981797207,2.7402686,-0.327103151,M2B,C2,DMSO,Sseq,12428,1.122532383,0.261636147,0.997657495,993924,42.32886163,40
239,M1B_T384s1_J23,-9.013228231,0.909952057,2.770878483,0.140033564,M1B,J23,DMSO,Sseq,12477,1.144133884,0.252568117,0.997657495,925278,39.40539159,41
383,M2B_T384s1_A2,-7.001330915,0.425182558,2.439322583,-0.327493687,M2B,A2,DMSO,Sseq,11938,0.906517375,0.364662073,0.997657495,738391,31.4463183,34
215,M1B_T384s1_I23,-6.470299952,0.414903439,2.711210577,-0.170734334,M1B,I23,DMSO,Sseq,11706,0.804240882,0.421257873,0.997657495,601327,25.6090882,29
287,M1B_T384s1_L23,-5.172375026,0.260936254,2.695120471,0.036481479,M1B,L23,DMSO,Sseq,11394,0.666696632,0.504965931,0.997657495,487598,20.7656403,22
596,M2B_T384s1_I23,-4.990404358,-0.049492901,2.356977786,-0.808405932,M2B,I23,DMSO,Sseq,11234,0.596161119,0.551067597,0.997657495,400490,17.05591755,16
263,M1B_T384s1_K23,-4.891841143,0.260632016,2.539098152,0.036889394,M1B,K23,DMSO,Sseq,11352,0.64818106,0.516867851,0.997657495,469901,20.01196712,28
407,M2B_T384s1_B2,-2.287980079,-0.473449649,2.279229587,-0.561299549,M2B,B2,DMSO,Sseq,10659,0.34267412,0.731843634,0.997657495,315699,13.44487032,13
644,M2B_T384s1_K23,-2.161961437,-0.47001686,2.475829828,-1.273431174,M2B,K23,DMSO,Sseq,10413,0.234225769,0.814809711,0.997657495,251480,10.70993569,12
668,M2B_T384s1_L23,0.914580084,-1.8421868,2.611632508,-1.683799394,M2B,L23,DMSO,Sseq,9485,-0.174880205,0.861173765,0.997657495,150530,6.410715046,6
773,Myo_unfresh_4,-12.13246581,4.06411378,5.021054247,3.175942631,Myo,4,Myo,Pos,13863,1.755147763,0.079234036,0.744867246,3136083,133.5583238,180
771,Myo_unfresh_3,-11.24455615,4.182759944,5.292999134,3.215656912,Myo,3,Myo,Pos,13728,1.695633424,0.089955324,0.807529975,2775013,118.1812103,115
767,Myo_unfresh_1,-11.05350283,3.724575549,6.499338417,2.440369493,Myo,1,Myo,Pos,13418,1.558970868,0.119003275,0.958160392,3740614,159.3038627,190
769,Myo_unfresh_2,-7.498519129,3.252988002,6.450976494,3.950864028,Myo,2,Myo,Pos,12370,1.09696326,0.272657453,0.997657495,2093415,89.15357097,69
768,SC_fresh_1,-10.45483117,2.759443252,3.369753046,0.551569687,SC,1,SC,Pos,13041,1.392771566,0.163688879,0.997657495,1579240,67.25607938,211
762,SC_unfresh_1,-10.14302172,2.1901567,2.224214355,0.578316196,SC,1,SC,Pos,12792,1.283000675,0.19949184,0.997657495,900145,38.33503684,132
764,SC_unfresh_2,-9.961889105,2.762864859,2.825531306,0.589178946,SC,2,SC,Pos,12847,1.307247257,0.191128751,0.997657495,1057069,45.01805715,151
766,SC_unfresh_3,-7.705395728,2.079148487,2.73657888,0.880176916,SC,3,SC,Pos,12316,1.073157524,0.283200445,0.997657495,630578,26.85481879,52
770,SC_fresh_2,-7.517557319,2.711612906,3.136254866,0.438236662,SC,2,SC,Pos,12051,0.956333081,0.338903982,0.997657495,810793,34.52974746,130
763,SC_fresh_5,-6.185693448,2.007283244,2.875885089,0.476893705,SC,5,SC,Pos,11742,0.820111372,0.41215262,0.997657495,484990,20.65457178,62
765,SC_fresh_6,-4.802050534,1.980271504,2.626878078,0.813863027,SC,6,SC,Pos,11305,0.627461253,0.530356927,0.997657495,382913,16.30735488,47
772,SC_fresh_3,-2.200084899,2.016776019,2.429516691,1.028681666,SC,3,SC,Pos,10578,0.306965517,0.75886962,0.997657495,276576,11.77871471,33
774,SC_fresh_4,5.277176176,1.364953207,1.012038464,0.861429222,SC,4,SC,Pos,8895,-0.434979908,0.663577011,0.997657495,127190,5.416719901,16
178,M1B_T384s1_H10,-14.74720423,2.061622277,3.267229589,0.334629193,M1B,H10,H10,Sseq,14067,1.845080542,0.065025823,0.686286053,3932587,167.4795366,142
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Vector,,,Length,,,,,,,,
,,Avg PC1,Avg PC2,,PC1,PC2,,,To calculate a vector subtract initial point from terminal point. In this case the initial point can be the DMSO and the terminal point is the treatment.,,,,,,,
,DMSO,-7.395194218,0.486976636,,,,,,To calculate the length of a vector it is the square root of each of the coordinates squared and summed.,,,,,,,
,AdMyoD,-4.771519299,3.467015154,,-2.623674919,-2.980038518,,3.970428144,,,,,,,,
,Myo,-10.48226098,3.806109319,,3.087066762,-3.319132682,,4.532838289,,,,,,,,
,SC,-5.965927528,2.208056686,,-1.429266689,-1.72108005,,2.237167809,,,,,,,,
,H10,-14.74720423,2.061622277,,7.352010015,-1.57464564,,7.518747247,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Std PC1,Std PC2,,,,,,,,,,,,,
,DMSO,4.077637396,0.88336673,,,,,,,,,,,,,
,AdMyoD,4.200204412,0.526431017,,,,,,,,,,,,,
,Myo,2.043958788,0.416742503,,,,,,,,,,,,,
,SC,5.012375232,0.463944189,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,3x Std,,,,,,,,,,,,,
,DMSO,,3.137076828,,,,,,,,,,,,,
,AdMyoD,,5.046308206,,,,,,,,,,,,,
,Myo,,5.056336828,,,,,,,,,,,,,
,SC,,3.599889255,,,,,,,,,,,,,
