"","sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","batch","well","treatment","Experiment","genes_detected","genes_detected_zscore","genes_detected_pval","genes_detected_padj","counts","means","noise_counts"
"1","M1B_T384s1_A1",6.70226762351944,-2.10315189591753,0.770779703124128,-0.28046072421899,-0.887524572407411,-0.552189008283918,0.0782450303511489,0.766254072362061,-0.836934881378023,1.52365031210882,-0.594807051945663,-0.095684747533998,-0.527372381088655,0.693097813169527,0.163706159705606,-0.174612443992541,0.438998981468857,-0.325050742152866,0.417620907487934,-0.320430001792231,0.0292191085990353,0.0610610149663304,-0.753336462301719,0.0792450399789362,-0.499554159605005,-0.983249137687939,-0.338373627001801,0.587196649882228,-0.197804995438339,-0.438974372763937,-0.490748685251841,0.773111863955329,-0.125272670461487,0.16923052732109,-0.809534450208192,-0.0198424247982639,0.130582532173836,0.119418289770507,0.43741861501395,-0.715790348968168,"M1B","A1","SC 1","Sseq",8517,-0.601620057372687,0.547427074598712,0.997657495364685,81203,3.45824283463226,2
"2","M1B_T384s1_A2",-11.1558209163125,1.1513835950312,2.74047690114703,0.0996708374584483,0.496824024872529,-0.140742085216958,-0.279526678048008,-0.697466521999682,-0.316163663469628,0.136885000109965,-0.0972003161805874,0.349238814706076,-0.300958783953023,0.208519149560312,0.447887110295943,0.287541482979033,0.317754148375153,0.223398884325181,0.368919160826583,0.0112649660960905,0.240069896168283,-0.194926995220303,-0.22950379823097,-0.0211440793299809,-0.100440739506775,-0.295823409335575,-0.112209385072745,0.0571981595123052,-0.162631918253516,-0.0924820952081985,-0.0652983289111643,0.020574030908847,-0.180401020224681,0.0660406405673906,-0.123526533997206,0.0855572431596647,-0.128183907684344,0.0278089620061202,0.0931138814505491,0.213848518200447,"M1B","A2","DMSO","Sseq",13099,1.41834068975871,0.156091322493953,0.997657495364685,1430675,60.9290490183553,83
"3","M1B_T384s1_A3",-1.62665514292048,-0.588387888902073,-1.03275766800457,0.461935244649037,-0.132825089613622,0.722460056001394,0.863630016531364,0.326315042026109,-0.130297152869985,-0.372861666422452,0.34707997132415,-0.710159138432373,-0.801004705305773,-0.0562963431344164,-0.277005500918556,-0.356506636404942,-0.399411821579986,0.100802121353807,-0.297744687453571,-0.377369227235066,0.0382348842518779,0.180240588712036,0.170909569110482,-0.520693057116847,-0.525512036115477,0.0707761318956347,-0.168112299952627,0.10323654087131,-0.168546104287468,0.0147671339103476,-0.0712207301484306,0.444512400769675,-0.0633429190371685,0.0399660331698716,0.135560766590463,0.242727926239437,-0.149915863878748,0.0208607687101525,-0.185805483456655,-0.00625129713783923,"M1B","A3","A3","Sseq",10210,0.144733837191575,0.884921022221856,0.997657495364685,198849,8.46850645202504,11
"4","M1B_T384s1_A4",-4.88462017984875,-0.456402798898869,0.0465245748080289,0.359812071354594,-0.20894356430088,-0.621988671483229,-0.982181754781281,0.468471175669221,0.353271233990743,-0.140232057315018,0.360154640806131,-0.47564993875449,-0.294518561513791,0.0441579947231884,0.234084521754037,-0.273277926905345,-0.223485491354655,0.155308686945447,0.0916224111252166,-0.574093876411005,-0.29075494787466,0.0969778158368277,-0.0831924451691086,-0.140872351672861,-0.265403620749392,0.00178518799529141,-0.387967121778267,0.123580084423709,-0.124478150583521,0.189939904533522,0.250842426331932,0.0628494938952678,-0.176636614173505,0.0324595254742974,0.305321961802007,-0.331659244791396,-0.173363783851817,-0.131865306000196,0.0245124731103439,-0.246743840014714,"M1B","A4","A4","Sseq",11186,0.575000465127027,0.565290982424423,0.997657495364685,297976,12.6900898598867,12
"5","M1B_T384s1_A5",-4.76245023940194,-0.00614340380455847,-0.244571273224615,0.441330415261931,0.245931424661291,0.785944992526517,0.781245155288931,0.316317801697188,0.0907572224070276,0.154539884409172,0.0984160223020083,0.0609028471773145,-0.0797134743494319,-0.141267996051185,0.500208490621165,-0.0267320308406766,-0.285814845556043,-0.269150506409371,-0.373693036063281,-0.204014935464182,-0.0407643634755185,-0.169560232756413,-0.287592955995436,-0.268481878988706,-0.0888297030536708,-0.324742085818477,-0.0053794836864136,0.299922941522662,-0.0761727344891418,0.0531024066346841,0.106729306798602,0.200987423769544,-0.131218757712327,0.00154671153769657,0.139850460705271,-0.225177766574528,-0.119445908260543,-0.0932298710017473,-0.245671069840498,-0.0254547345996847,"M1B","A5","A5","Sseq",11087,0.531356616596689,0.595171678773913,0.997657495364685,309183,13.1673693624633,12
"6","M1B_T384s1_A6",13.6203771862469,-4.60802976375479,-1.92250494488743,-1.66227010316855,-2.10107129923782,0.196608548444219,-0.714372504253325,1.52514407457126,-2.025784900728,-0.592746466480616,-0.0555534259242862,-0.610716254967173,0.144143828478221,1.5024247707643,0.0411708726257511,-0.795032217461509,-0.552522358530186,-0.607262360299669,-1.16716740492394,-0.00881443469970791,-0.674875713253894,0.0980764415217074,0.524607540453036,0.308721596006758,-1.14553816877783,-0.421810709300286,1.4073313780956,0.839429512398352,0.160345449425868,-0.085743744358899,-0.133987080228414,0.501389084331144,-0.427651268875778,0.0938054014086056,-0.182545605578768,-0.382599756835893,1.1889254107111,-0.180630724794805,-1.25720021508781,-0.78204227273843,"M1B","A6","A6","Sseq",6314,-1.57280589891142,0.115763769342999,0.944281205117174,37328,1.58971083003279,0
"7","M1B_T384s1_A7",-7.40674450182572,0.471668922579526,-0.485075502317982,0.323240807908973,0.51967647143448,0.832727584545691,0.687583263147592,0.75996722926119,0.302559970861489,0.915433971997538,-0.228495330066108,0.652930761356694,0.340234445888976,-0.570300270302393,0.482765040686499,0.219039284484979,0.126072066358,-0.10454886602997,0.119140001151952,0.31905901077739,0.0205807991028195,-0.181629127778508,-0.447506524197296,0.295745169513883,-0.131878407188273,-0.644055002469505,-0.158335446380526,0.0511417991207452,-0.0608631274211068,-0.124073599020083,-0.0313666134685001,0.131935132702457,0.0878163461071622,0.149530568423025,0.0185242827507426,-0.0321621368048625,0.0410160751289331,-0.111099607342913,0.00220205415751169,-0.152113735111836,"M1B","A7","A7","Sseq",11711,0.806445116424273,0.419986241745577,0.997657495364685,433031,18.4417614241301,17
"8","M1B_T384s1_A8",-8.71632170624545,0.58266493488643,1.05274183057708,-0.292254224995971,0.192710153163691,-0.108845904695986,-0.42465944409626,0.462028096600693,0.243631566001444,0.641195083630508,0.0997714466922408,0.66227141758098,-0.115843152955636,-0.338398922976721,0.433326247635577,0.0238310090283626,0.0682951593033048,0.222802573924128,0.320801438724781,0.140798482383232,-0.0611650104767456,-0.258730242359188,-0.191719241754212,0.0798315814017368,0.0387059749278279,-0.501691268933764,0.0530521785786832,0.101719157040432,-0.201941814762538,0.0644258343400572,-0.0210790422120709,0.00435169327433008,0.0759194118850535,-0.077619555577073,0.130553802317698,-0.290136533169298,-0.0277372535338868,-0.0240319640583283,-0.246613580585788,0.137823247773359,"M1B","A8","A8","Sseq",12154,1.00174031742366,0.316469028984629,0.997657495364685,613312,26.1195008730463,41
"9","M1B_T384s1_A9",-8.17399299302544,0.356697294424362,0.818721858789953,0.144841225661765,0.280430781486526,-0.197067837236488,-0.384275578657353,0.199158614293497,0.0885823555781005,0.266976937881018,0.237996319786962,0.1784894231459,-0.296848413144949,-0.198208283138916,0.623230347851724,0.023856028390026,0.0432074437676532,0.00107334003525611,0.0886056711093471,-0.186832153574636,-0.06136255907686,-0.217275313495803,-0.378296962052093,0.00925589254700724,0.0975725283533732,-0.370345714068253,-0.0155169683492745,0.139073868787448,0.0495373090926821,-0.0329764365818708,0.068948263058338,-0.023153239705348,0.0724670790724455,0.187725002109617,0.202044700563229,-0.362479389657141,-0.130016551677275,-0.0870546384416106,-0.240957028138089,0.095849130888596,"M1B","A9","A9","Sseq",12038,0.950602070660843,0.341806417099669,0.997657495364685,538135,22.9178910608577,24
"10","M1B_T384s1_A10",-9.85337297430219,1.15109058343962,1.60215173730343,-0.182172424550835,0.402769017337497,-0.199076982560144,0.0629497191254835,-0.340194479509811,-0.00523086835069859,0.504995763915462,-0.069053611937001,0.412315866033748,-0.13428846270488,0.0315194909450608,0.481438290013108,0.00437550103272741,0.133117705174561,0.441030150733972,0.433776462296852,0.00235039247040668,0.109360290317448,-0.0437389368803713,-0.0709454782605672,-0.0815386913096314,-0.00891038844235527,-0.631828285619863,-0.0334610151351559,0.0666301136781508,-0.120223329063061,0.0932510855785675,-0.173176263942848,0.101880282138792,0.0034734317627589,0.0290386067335612,0.0285078176673935,-0.127673193450089,-0.164643296882072,-0.111709013373889,-0.110259904003656,0.0573677962215047,"M1B","A10","A10","Sseq",12443,1.12914508737586,0.258836633970942,0.997657495364685,863580,36.7778203654018,64
