,well,treatment,experiment
1,A1,SC 1,sph
2,B1,SC 2,sph
3,C1,SC 3,sph
4,D1,SC 4,sph
5,E1,P7NG#1,sph
6,F1,P7NG#5,sph
7,G1,P7NG#6,sph
8,H1,P7NG#8,sph
9,I1,P7NG#9,sph
10,J1,P7NG#10,sph
11,K1,P7NG#13,sph
12,L1,P7NG#15,sph
13,M1,P7NG#16,sph
14,N1,Un Inj TA 1,sph
15,O1,Un inj TA 2,sph
16,P1,5D Inj TA 1,sph
17,A2,DMSO,sseq
18,B2,DMSO,sseq
19,C2,DMSO,sseq
20,D2,DMSO,sseq
21,E2,AdMyoD,sseq
22,F2,AdMyoD,sseq
23,G2,AdMyoD,sseq
24,H2,AdMyoD,sseq
25,I2,5D Inj TA 2,sph
26,J2,5D Inj TA 3,sph
27,K2,P7NG#5 GFP High,sph
28,L2,P7NG#8 GFP High,sph
29,M2,P7NG#10 GFP High,sph
30,N2,P7NG# 7 D5 Diff GFP -,sph
31,O2,P7NG# 7 D5 Diff GFP +,sph
32,P2,P7NG# 9 D5 Diff GFP -,sph
33,A3,A3,sseq
34,B3,B3,sseq
35,C3,C3,sseq
36,D3,D3,sseq
37,E3,E3,sseq
38,F3,F3,sseq
39,G3,G3,sseq
40,H3,H3,sseq
41,I3,I3,sseq
42,J3,J3,sseq
43,K3,K3,sseq
44,L3,L3,sseq
45,M3,M3,sseq
46,N3,N3,sseq
47,O3,O3,sseq
48,P3,P3,sseq
49,A4,A4,sseq
50,B4,B4,sseq
51,C4,C4,sseq
52,D4,D4,sseq
53,E4,E4,sseq
54,F4,F4,sseq
55,G4,G4,sseq
56,H4,H4,sseq
57,I4,I4,sseq
58,J4,J4,sseq
59,K4,K4,sseq
60,L4,L4,sseq
61,M4,M4,sseq
62,N4,N4,sseq
63,O4,O4,sseq
64,P4,P4,sseq
65,A5,A5,sseq
66,B5,B5,sseq
67,C5,C5,sseq
68,D5,D5,sseq
69,E5,E5,sseq
70,F5,F5,sseq
71,G5,G5,sseq
72,H5,H5,sseq
73,I5,I5,sseq
74,J5,J5,sseq
75,K5,K5,sseq
76,L5,L5,sseq
77,M5,M5,sseq
78,N5,N5,sseq
79,O5,O5,sseq
80,P5,P5,sseq
81,A6,A6,sseq
82,B6,B6,sseq
83,C6,C6,sseq
84,D6,D6,sseq
85,E6,E6,sseq
86,F6,F6,sseq
87,G6,G6,sseq
88,H6,H6,sseq
89,I6,I6,sseq
90,J6,J6,sseq
91,K6,K6,sseq
92,L6,L6,sseq
93,M6,M6,sseq
94,N6,N6,sseq
95,O6,O6,sseq
96,P6,P6,sseq
97,A7,A7,sseq
98,B7,B7,sseq
99,C7,C7,sseq
100,D7,D7,sseq
101,E7,E7,sseq
102,F7,F7,sseq
103,G7,G7,sseq
104,H7,H7,sseq
105,I7,I7,sseq
106,J7,J7,sseq
107,K7,K7,sseq
108,L7,L7,sseq
109,M7,M7,sseq
110,N7,N7,sseq
111,O7,O7,sseq
112,P7,P7,sseq
113,A8,A8,sseq
114,B8,B8,sseq
115,C8,C8,sseq
116,D8,D8,sseq
117,E8,E8,sseq
118,F8,F8,sseq
119,G8,G8,sseq
120,H8,H8,sseq
121,I8,I8,sseq
122,J8,J8,sseq
123,K8,K8,sseq
124,L8,L8,sseq
125,M8,M8,sseq
126,N8,N8,sseq
127,O8,O8,sseq
128,P8,P8,sseq
129,A9,A9,sseq
130,B9,B9,sseq
131,C9,C9,sseq
132,D9,D9,sseq
133,E9,E9,sseq
134,F9,F9,sseq
135,G9,G9,sseq
136,H9,H9,sseq
137,I9,I9,sseq
138,J9,J9,sseq
139,K9,K9,sseq
140,L9,L9,sseq
141,M9,M9,sseq
142,N9,N9,sseq
143,O9,O9,sseq
144,P9,P9,sseq
145,A10,A10,sseq
146,B10,B10,sseq
